objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
118000,SN,2022xkt,38.3304912288,22.3933273426,0.014,5,SN Ic,48,ZTF,48,ZTF,2022-10-13 09:40:19.200,18.6,110,g,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2022-10-13 10:21:49,"ZTF22abmxsoc, ATLAS22binh, , PS23amy",2022TNSTR2973....1F,"2022TNSCR3008....1J, 2022TNSCR3082....1S",2022-10-13 10:21:50,2023-02-24 14:40:15
123899,SN,2023apg,264.490083,60.882489,0.031,5,SN Ic,48,ZTF,48,ZTF,2023-01-23 12:15:50.400,18.61,111,r,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2023-01-25 13:27:22,"ZTF23aaawbre, Gaia23atp, ATLAS23dno",2023TNSTR.194....1F,2023TNSCR.300....1J,2023-01-25 13:27:24,2023-02-19 16:26:47
123904,SN,2023apl,231.114625,30.148531,0.04,5,SN Ic,48,ZTF,48,ZTF,2023-01-23 11:42:43.200,20.03,110,g,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2023-01-25 15:29:23,"ZTF23aaazffe, Gaia23als, ATLAS23ccr, PS23bef",2023TNSTR.194....1F,2023TNSCR.355....1H,2023-01-25 15:29:24,2023-02-13 21:51:47
121024,SN,2022abto,175.874292,3.390561,0.0252,5,SN Ic,48,ZTF,48,ZTF,2022-11-23 11:15:21.600,17.24,111,r,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2022-11-26 14:30:30,"ZTF22abwtqeb, ATLAS22bnkc, Gaia23aao, PS23aoi",2022TNSTR3454....1F,2022TNSCR3513....1S,2022-11-26 14:30:31,2023-01-03 15:00:40
117607,SN,2022wwd,55.6663737164,-6.37836806566,0.021171,5,SN Ic,48,ZTF,48,ZTF,2022-10-04 10:09:07.200,20.3,110,g,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2022-10-06 10:21:07,"ZTF22abllclb, ATLAS22bing, PS22kpc",2022TNSTR2908....1F,2022TNSCR2991....1S,2022-10-06 10:21:08,2022-10-22 13:09:49
115418,SN,2022tsh,355.078518969,-4.15609133101,0.022,5,SN Ic,74,ALeRCE,48,ZTF,2022-09-07 10:06:40.000,20.0691,111,r,"A. Munoz-Arancibia, F.E. Bauer, F. Forster, G. Pignata, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Hoshino, E. Camacho, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, A. Moya E. Reyes, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2022-09-07 21:51:52,"ZTF22abfrkoh, ATLAS22beou, PS22iig",2022TNSTR2602....1M,2022TNSCR2743....1G,2022-09-07 21:51:59,2022-09-22 17:10:16
114068,SN,2022rsx,259.441141006,39.4869660332,0.034,5,SN Ic,48,ZTF,48,ZTF,2022-08-21 05:21:48.672,19.7614,110,g,K. De (Caltech) on behalf of ZTF,2022-08-22 01:01:22,"ZTF22abbdxho, ATLAS22bbxo, PS22hzl",2022TNSTR2420....1D,2022TNSCR2515....1B,2022-08-22 01:01:24,2022-09-06 10:19:58
114278,SN,2022sau,41.477958,-5.641831,0.029367,5,SN Ic,74,ALeRCE,48,ZTF,2022-08-24 10:32:28.003,19.4697,110,g,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, R. Hoshino, E. Camacho, J. Silva-Farfan, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, A. Moya E. Reyes, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2022-08-24 16:01:26,"ZTF22abcsgeq, Gaia22dqi, ATLAS22bcvv, PS22jdv",2022TNSTR2443....1M,2022TNSCR2489....1D,2022-08-24 16:01:27,2022-09-01 07:17:51
109577,SN,2022lfa,328.59749574444,15.154319744444,0.0245340001,5,SN Ic,48,ZTF,48,ZTF,2022-05-28 09:52:01.632,19.21,111,r,K. De (Caltech) on behalf of ZTF,2022-05-28 18:02:50,"ZTF22aalfmec, ATLAS22ppk",2022TNSTR1466....1D,"2022TNSCR1804....1B, 2022TNSCR2105....1P",2022-05-28 18:02:51,2022-07-26 05:43:28
111147,SN,2022nmq,4.580375,19.395611,0.0180859994,5,SN Ic,48,ZTF,48,ZTF,2022-06-25 10:23:15.648,18.9018,110,g,K. De (Caltech) on behalf of ZTF,2022-06-25 13:03:36,"ZTF22aaoolua, Gaia22cry, PS22gbx",2022TNSTR1768....1D,2022TNSCR1882....1S,2022-06-25 13:03:37,2022-07-05 13:57:39
