"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"207452","SN 2026kyg","22:26:40.815","-49:10:16.82","SN Ia","0.06","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26exk","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","17.858","cyan-ATLAS","2026-04-26 02:32:35.808","ATLAS_Bot1","","","2026TNSTR1840....1T","2026TNSCR1949....1K","",""
"207451","SN 2026kyf","17:52:02.511","-65:17:07.50","SN Ia","0.07","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS26exj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","19.137","cyan-ATLAS","2026-04-26 00:57:43.776","ATLAS_Bot1","","","2026TNSTR1840....1T","2026TNSCR1949....1K","",""
"207450","SN 2026kye","20:49:58.771","-19:37:56.72","SN II","0.038","","","ATLAS, ZTF","ATLAS, ZTF","ePESSTO+","ATLAS, ZTF","ATLAS26exi","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.872","orange-ATLAS","2026-04-26 09:25:41.376","ATLAS_Bot1","","","2026TNSTR1840....1T","2026TNSCR1949....1K","",""
"207395","SN 2026kwo","15:16:39.314","+41:01:52.21","SN Ia","0.031336","","","GOTO, ATLAS","GOTO, ATLAS","None","ATLAS, GOTO","GOTO26eap","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2","BL41 - FOSC-E5535","1","1","","19.18","L-GOTO","2026-04-27 00:33:38.304","GOTO_bot","","","2026TNSTR1841....1O","2026TNSCR2017....1B","",""
"207334","SN 2026kut","20:43:21.455","-11:49:21.10","SN IIn","0.054","","","GOTO, ATLAS","GOTO, ATLAS","ePESSTO+","ATLAS, GOTO","GOTO26dyj","ATLAS-CHL - ATLAS-04, ATLAS-TDO - ATLAS-05, GOTO-S - GOTO-3, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","19.35","L-GOTO","2026-04-25 18:43:20.640","GOTO_bot","","","2026TNSTR1832....1O","2026TNSCR1935....1C","",""
"207323","SN 2026kui","20:42:38.124","-35:04:28.71","SN II","0.09","","","GOTO","GOTO","ePESSTO+","GOTO","GOTO26dyz","GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","18.77","L-GOTO","2026-04-25 19:14:27.744","GOTO_bot","","","2026TNSTR1832....1O","2026TNSCR1949....1K","",""
"207322","SN 2026kuh","08:55:17.289","-14:31:27.39","SN Ia","0.05","","","GOTO, ZTF, ATLAS","GOTO, ZTF, ATLAS","ePESSTO+","ATLAS, GOTO, ZTF","GOTO26dyx","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-S - GOTO-3, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.49","L-GOTO","2026-04-26 08:49:44.832","GOTO_bot","","","2026TNSTR1832....1O","2026TNSCR1949....1K","",""
"207267","SN 2026ksg","16:29:10.416","+00:48:39.39","SN Ia","0.115","DESI J247.2928+00.8110","0.113434937","ALeRCE, GOTO, Fink, ATLAS","ZTF, GOTO, ATLAS","ZTF","ATLAS, GOTO, ZTF","ZTF26aaudaac","ATLAS-CHL - ATLAS-04, ATLAS-TDO - ATLAS-05, GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam","P200 - NGPS","1","1","","20.5429","g-ZTF","2026-04-20 10:58:33.001","ALeRCE","","","2026TNSTR1817....1F","2026TNSCR1985....1D","",""
"207241","SN 2026krh","16:46:45.394","+49:02:29.10","SN Ia","0.045","","","GOTO, ATLAS, ZTF","GOTO, ATLAS, ZTF","ZTF","ATLAS, GOTO, ZTF","GOTO26dvr","ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.79","L-GOTO","2026-04-24 01:39:06.912","GOTO_bot","","","2026TNSTR1820....1R","2026TNSCR1922....1F","",""
"207236","SN 2026krc","14:58:01.072","+05:27:46.77","SN Ia","0.05874","","","ZTF, SGLF, GOTO, Fink, BlackGEM","ZTF, GOTO, BlackGEM","ZTF","BlackGEM, GOTO, ZTF","ZTF26aaubove","BG3 - BlackGEM-Cam3, GOTO-N - GOTO-1, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.0416","i-ZTF","2026-04-23 08:51:44.997","Fritz","","","2026TNSTR1828....1S","2026TNSCR1867....1J","",""
